ID,Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Month,Year,Month_Year,Age,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,Segment
1993,1949,PhD,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,12,2012,2012-12,65,17,972,2,3,4,23,at_risk
1409,1951,Graduation,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,3,2013,2013-03,63,20,444,2,4,3,24,at_risk
7892,1969,Graduation,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,1,2013,2013-01,45,8,75,1,2,2,12,hibernating
2404,1976,Graduation,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,5,2013,2013-05,38,14,257,5,3,3,53,potential_loyalists
9422,1989,Graduation,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,5,2013,2013-05,25,9,131,4,2,2,42,potential_loyalists
1966,1965,PhD,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,11,2013,2013-11,49,26,1672,1,5,5,15,cant_loose
6864,1989,Master,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,5,2014,2014-05,25,8,30,4,2,1,42,potential_loyalists
3033,1963,Master,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,5,2013,2013-05,51,11,318,3,2,3,32,about_to_sleep
5710,1970,Graduation,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,10,2012,2012-10,44,9,120,4,2,2,42,potential_loyalists
7373,1952,PhD,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,10,2012,2012-10,62,17,302,5,3,3,53,potential_loyalists
8755,1946,Master,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,2,2013,2013-02,68,18,1196,5,4,5,54,champions
10738,1951,Master,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,8,2013,2013-08,63,6,65,3,1,2,31,about_to_sleep
4339,1970,PhD,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,12,2013,2013-12,44,28,913,4,5,4,45,loyal_customers
10755,1976,2n Cycle,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,9,2013,2013-09,38,9,81,2,2,2,22,hibernating
8595,1973,Graduation,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,2,2014,2014-02,41,7,67,1,1,2,11,hibernating
2968,1943,PhD,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,2,2013,2013-02,71,24,902,3,5,4,35,loyal_customers
8601,1980,Graduation,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,4,2013,2013-04,34,21,1395,5,4,5,54,champions
503,1985,Master,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,3,2013,2013-03,29,7,53,1,1,1,11,hibernating
8430,1957,Graduation,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,12,2012,2012-12,57,4,22,5,1,1,51,new_customers
2139,1975,Master,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,10,2013,2013-10,39,8,31,5,2,1,52,potential_loyalists
1371,1976,Graduation,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,6,2014,2014-06,38,16,984,2,3,4,23,at_risk
9909,1996,2n Cycle,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,11,2012,2012-11,18,10,122,4,2,2,42,potential_loyalists
7286,1968,Graduation,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,5,2013,2013-05,46,5,55,1,1,1,11,hibernating
6566,1954,PhD,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,11,2012,2012-11,60,28,1319,4,5,5,45,loyal_customers
8614,1957,Graduation,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,5,2014,2014-05,57,17,507,4,3,3,43,potential_loyalists
4114,1964,Master,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,8,2012,2012-08,50,29,1693,5,5,5,55,champions
1331,1977,Graduation,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,2013,2013-01,37,7,72,3,1,2,31,about_to_sleep
2225,1977,Graduation,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,6,2014,2014-06,37,21,1617,3,4,5,34,loyal_customers
9381,1978,Graduation,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,6,2013,2013-06,36,23,606,3,5,3,35,loyal_customers
6260,1955,Master,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,11,2012,2012-11,59,27,1957,3,5,5,35,loyal_customers
10383,1966,Graduation,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,4,2013,2013-04,48,21,1093,4,4,4,44,loyal_customers
7437,1988,Graduation,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,4,2014,2014-04,26,6,29,4,1,1,41,promising
8375,1968,PhD,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,3,2014,2014-03,46,19,518,2,4,3,24,at_risk
6853,1982,Master,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,7,2013,2013-07,32,21,1438,5,4,5,54,champions
3076,1975,Graduation,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,9,2012,2012-09,39,22,612,5,4,3,54,champions
1012,1952,Graduation,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,2,2013,2013-02,62,24,884,4,5,4,45,loyal_customers
6518,1951,PhD,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,6,2013,2013-06,63,19,606,5,4,3,54,champions
4137,1948,Graduation,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,12,2013,2013-12,66,16,1076,4,3,4,43,potential_loyalists
8082,1971,Graduation,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,5,2013,2013-05,43,5,34,2,1,1,21,hibernating
9369,1979,2n Cycle,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,3,2014,2014-03,35,32,1274,5,5,5,55,champions
4477,1958,Graduation,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,9,2013,2013-09,56,18,653,5,4,4,54,champions
1357,1970,Graduation,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,4,2013,2013-04,44,19,1562,1,4,5,14,at_risk
1402,1954,Master,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,9,2012,2012-09,60,21,1253,5,4,5,54,champions
6312,1959,Graduation,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,3,2013,2013-03,55,30,863,4,5,4,45,loyal_customers
8132,1975,PhD,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,4,2013,2013-04,39,24,661,1,5,4,15,cant_loose
1050,1952,Graduation,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,4,2014,2014-04,62,8,65,3,2,2,32,about_to_sleep
5846,1977,Graduation,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,12,2012,2012-12,37,4,13,2,1,1,21,hibernating
1859,1972,Master,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,8,2012,2012-08,42,19,1890,4,4,5,44,loyal_customers
7503,1976,Graduation,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,10,2012,2012-10,38,22,2209,4,4,5,44,loyal_customers
10401,1976,2n Cycle,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,9,2013,2013-09,38,4,18,5,1,1,51,new_customers
1618,1965,Graduation,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,1,2013,2013-01,49,21,692,5,4,4,54,champions
3332,1985,Graduation,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,8,2012,2012-08,29,12,165,1,2,2,12,hibernating
2261,1969,Graduation,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,6,2013,2013-06,45,4,16,5,1,1,51,new_customers
5346,1973,2n Cycle,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,7,2013,2013-07,41,9,79,1,2,2,12,hibernating
4119,1963,Master,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,5,2013,2013-05,51,11,318,3,2,3,32,about_to_sleep
535,1987,Graduation,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,2,2014,2014-02,27,27,778,5,5,4,55,champions
5268,1960,Graduation,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,8,2013,2013-08,54,7,56,1,1,2,11,hibernating
273,1970,Master,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,7,2013,2013-07,44,13,151,3,3,2,33,need_attention
4452,1957,Graduation,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,5,2014,2014-05,57,17,372,5,3,3,53,potential_loyalists
8504,1973,Graduation,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,5,2014,2014-05,41,19,1366,2,4,5,24,at_risk
771,1967,Graduation,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,1,2014,2014-01,47,10,194,2,2,2,22,hibernating
11178,1972,Master,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,3,2014,2014-03,42,5,32,2,1,1,21,hibernating
2230,1970,PhD,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,5,2014,2014-05,44,10,43,1,2,1,12,hibernating
7516,1983,Graduation,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,5,2014,2014-05,31,6,45,4,1,1,41,promising
7247,1960,Graduation,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,11,2012,2012-11,54,22,606,2,4,3,24,at_risk
11100,1972,Graduation,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,4,2013,2013-04,42,7,63,4,1,2,41,promising
4646,1951,2n Cycle,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,12,2013,2013-12,63,25,978,3,5,4,35,loyal_customers
3037,1983,PhD,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,6,2013,2013-06,31,16,410,4,3,3,43,potential_loyalists
1016,1959,PhD,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,3,2014,2014-03,55,7,55,3,1,1,31,about_to_sleep
4518,1979,Graduation,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,4,2013,2013-04,35,27,1169,3,5,4,35,loyal_customers
9370,1945,PhD,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,5,2013,2013-05,69,16,1120,2,3,4,23,at_risk
8908,1959,Graduation,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,5,2014,2014-05,55,20,1097,4,4,4,44,loyal_customers
8373,1979,Basic,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,12,2013,2013-12,35,5,29,1,1,1,11,hibernating
7533,1964,Graduation,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,9,2013,2013-09,50,13,187,5,3,2,53,potential_loyalists
2683,1969,Graduation,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,2,2013,2013-02,45,26,910,3,5,4,35,loyal_customers
3629,1978,Graduation,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,12,2012,2012-12,36,9,145,5,2,2,52,potential_loyalists
10991,1960,Master,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,12,2012,2012-12,54,14,850,5,3,4,53,potential_loyalists
5077,1979,Graduation,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,11,2013,2013-11,35,24,969,3,5,4,35,loyal_customers
7431,1991,PhD,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,11,2012,2012-11,23,17,1820,4,3,5,43,potential_loyalists
3267,1963,Master,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,6,2014,2014-06,51,20,608,4,4,3,44,loyal_customers
999,1991,Graduation,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,1,2013,2013-01,23,25,730,1,5,4,15,cant_loose
9215,1980,PhD,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,12,2012,2012-12,34,21,551,5,4,3,54,champions
2286,1962,Graduation,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,9,2013,2013-09,52,8,114,4,2,2,42,potential_loyalists
1592,1970,Graduation,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1,2014,2014-01,44,15,1724,4,3,5,43,potential_loyalists
367,1978,2n Cycle,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,2,2013,2013-02,36,20,577,2,4,3,24,at_risk
5234,1967,2n Cycle,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,7,2013,2013-07,47,7,81,1,1,2,11,hibernating
9862,1969,Graduation,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,11,2013,2013-11,45,7,33,4,1,1,41,promising
9805,1953,Master,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,6,2013,2013-06,61,22,660,2,4,4,24,at_risk
6205,1967,Master,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,2,2014,2014-02,47,9,80,5,2,2,52,potential_loyalists
8442,1985,Master,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,9,2013,2013-09,29,6,30,2,1,1,21,hibernating
7386,1976,Graduation,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,4,2013,2013-04,38,5,43,1,1,1,11,hibernating
7215,1983,Graduation,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,3,2013,2013-03,31,27,1135,2,5,4,25,cant_loose
1491,1965,2n Cycle,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,2,2013,2013-02,49,16,559,1,3,3,13,at_risk
11071,1984,Graduation,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,4,2013,2013-04,30,16,1923,4,3,5,43,potential_loyalists
3381,1953,Master,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,6,2014,2014-06,61,8,90,3,2,2,32,about_to_sleep
11051,1956,PhD,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,5,2014,2014-05,58,23,661,2,5,4,25,cant_loose
8026,1952,Graduation,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,9,2013,2013-09,62,19,463,5,4,3,54,champions
433,1958,Master,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,3,2013,2013-03,56,23,632,3,5,3,35,loyal_customers
9597,1969,Graduation,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,2,2014,2014-02,45,19,725,5,4,4,54,champions
5290,1964,PhD,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,8,2013,2013-08,50,16,279,3,3,3,33,need_attention
1685,1967,PhD,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,3,2013,2013-03,47,23,1482,4,5,5,45,loyal_customers
5342,1976,Basic,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,8,2012,2012-08,38,6,29,4,1,1,41,promising
9579,1959,PhD,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,7,2013,2013-07,55,9,106,2,2,2,22,hibernating
7660,1973,PhD,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,5,2014,2014-05,41,6,49,4,1,1,41,promising
1461,1965,PhD,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,7,2013,2013-07,49,7,38,2,1,1,21,hibernating
821,1992,Master,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,10,2012,2012-10,22,22,2077,3,4,5,34,loyal_customers
11084,1976,Master,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,11,2013,2013-11,38,17,1053,5,3,4,53,potential_loyalists
8690,1962,Graduation,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,4,2013,2013-04,52,23,1385,2,5,5,25,cant_loose
2937,1974,PhD,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,8,2013,2013-08,40,25,871,3,5,4,35,loyal_customers
9701,1988,Graduation,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,3,2013,2013-03,26,12,312,5,3,3,53,potential_loyalists
9949,1976,Graduation,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,10,2012,2012-10,38,15,877,4,3,4,43,potential_loyalists
10837,1975,Graduation,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,10,2012,2012-10,39,6,68,3,1,2,31,about_to_sleep
3120,1981,Graduation,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,8,2013,2013-08,33,4,22,3,1,1,31,about_to_sleep
5885,1973,2n Cycle,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,8,2012,2012-08,41,16,211,1,3,3,13,at_risk
4050,1966,Master,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,6,2014,2014-06,48,8,127,2,2,2,22,hibernating
3830,1953,Master,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,4,2014,2014-04,61,16,459,3,3,3,33,need_attention
7987,1969,Graduation,65747.0,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,3,2014,2014-03,45,19,460,1,4,3,14,at_risk
7798,1972,2n Cycle,46344.0,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,12,2012,2012-12,42,17,429,4,3,3,43,potential_loyalists
92,1988,Graduation,34176.0,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,5,2014,2014-05,26,11,89,5,2,2,52,potential_loyalists
7055,1952,PhD,61010.0,0,1,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,10,2012,2012-10,62,26,1021,3,5,4,35,loyal_customers
10240,1949,Graduation,69372.0,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,2,2013,2013-02,65,21,1381,5,4,5,54,champions
